StringId,X,Y,Z,Rolling Resistance,Ground Structure,Maximum Speed Full (Fwd),Maximum Speed Empty (Fwd),Maximum Speed Full (Rev),Maximum Speed Empty (Rev)
24,106074.352,103846.376,7021.248,2,0,100,100,100,100
24,105913.51,104014.09,7022.99,2,0,100,100,100,100
25,106348.418,103420.779,7021.875,2,0,100,100,100,100
25,106234.146,102950.283,7000,2,0,100,100,100,100
25,106260.197,102452.593,6950,2,0,100,100,100,100
25,106399.072,101970.396,6900,2,0,100,100,100,100
25,106647.859,101540.499,6850,2,0,100,100,100,100
25,106983.844,101172.866,6800,2,0,100,100,100,100
25,107365.756,100854.02,6750,2,0,100,100,100,100
25,107820.592,100649.499,6700,2,0,100,100,100,100
25,108315.646,100615.811,6650,2,0,100,100,100,100
25,108808.957,100680.574,6600,2,0,100,100,100,100
26,106348.418,103420.779,7021.875,2,0,100,100,100,100
26,106699.111,104104.947,7050,2,0,100,100,100,100
27,102966.99,104697.795,7040.49,2,0,100,100,100,100
27,102844.833,104780.391,7049.97,2,0,100,100,100,100
28,102966.99,104697.795,7040.49,2,0,100,100,100,100
28,103166.816,104590.152,7040,2,0,100,100,100,100
29,102966.99,104697.795,7040.49,2,0,100,100,100,100
29,103483.152,104432.589,7029.82,2,0,100,100,100,100
29,103166.816,104590.152,7040,2,0,100,100,100,100
30,102966.99,104697.795,7040.49,2,0,100,100,100,100
30,102690.198,104884.82,7057.95,2,0,100,100,100,100
30,102359.628,105283.254,7099.68,2,0,100,100,100,100
30,102010.333,105877.879,7158.95,2,0,100,100,100,100
30,101834.17,106353.543,7199.86,2,0,100,100,100,100
30,101610.417,106463.848,7207.5,2,0,100,100,100,100
31,103483.152,104432.589,7029.82,2,0,100,100,100,100
31,104018.912,104239.227,7033.16,2,0,100,100,100,100
31,104393.084,104137.109,7039.03,2,0,100,100,100,100
31,104771.934,104096.574,7040.75,2,0,100,100,100,100
31,105204.023,104163.344,7033.49,2,0,100,100,100,100
32,98535.327,103755.493,7160,2,0,100,100,100,100
32,98701.256,103891.428,7150,2,0,100,100,100,100
32,98872.237,103995.246,7140,2,0,100,100,100,100
32,98957.533,104071.685,7130,2,0,100,100,100,100
32,99060.734,104175.057,7120,2,0,100,100,100,100
32,99263.885,104362.612,7130,2,0,100,100,100,100
32,99433.146,104417.848,7130,2,0,100,100,100,100
32,99660.082,104762.334,7140,2,0,100,100,100,100
32,99658.446,104918.746,7148.628,2,0,100,100,100,100
32,99999.912,105474.778,7189.28,2,0,100,100,100,100
32,100227.908,105752.393,7205.88,2,0,100,100,100,100
32,100536.796,106219.134,7210.92,2,0,100,100,100,100
32,100886.306,106424.257,7211.42,2,0,100,100,100,100
33,98535.327,103755.493,7160,2,0,100,100,100,100
33,98490.174,103547.723,7190,2,0,100,100,100,100
34,98535.327,103755.493,7160,2,0,100,100,100,100
34,98271.121,103607.104,7170,2,0,100,100,100,100
34,97827.48,103476.74,7180,2,0,100,100,100,100
34,97344.206,103504.425,7181.331,2,0,100,100,100,100
34,97287.846,103493.336,7180.939,2,0,100,100,100,100
34,97228.831,103443.171,7179.795,2,0,100,100,100,100
34,97062.974,103362.767,7176.957,2,0,100,100,100,100
34,96925.259,103239.222,7170.113,2,0,100,100,100,100
34,96838.255,103135.063,7161.117,2,0,100,100,100,100
34,96733.861,102990.476,7149.116,2,0,100,100,100,100
34,96595.258,102757.403,7132.378,2,0,100,100,100,100
35,98535.327,103755.493,7160,2,0,100,100,100,100
35,98473.974,103545.915,7170,2,0,100,100,100,100
36,98535.327,103755.493,7160,2,0,100,100,100,100
36,98478.598,103549.567,7170,2,0,100,100,100,100
37,102690.198,104884.82,7057.95,2,0,100,100,100,100
37,102844.833,104780.391,7049.97,2,0,100,100,100,100
38,95637.424,101546.138,7200,2,0,100,100,100,100
38,95870.425,101591.759,7190,2,0,100,100,100,100
38,95931.424,101682.689,7180,2,0,100,100,100,100
38,95983.724,101767.811,7170,2,0,100,100,100,100
38,96018.773,101850.17,7160,2,0,100,100,100,100
38,96075.766,101946.974,7150,2,0,100,100,100,100
38,96158.818,102045.226,7140,2,0,100,100,100,100
38,96281.328,102148.251,7130,2,0,100,100,100,100
38,96340.547,102312.722,7120,2,0,100,100,100,100
39,96427.188,102500.733,7121.191,2,0,100,100,100,100
39,96340.547,102312.722,7120,2,0,100,100,100,100
39,96281.328,102148.251,7130,2,0,100,100,100,100
39,96158.818,102045.226,7140,2,0,100,100,100,100
39,96075.766,101946.974,7150,2,0,100,100,100,100
39,96018.773,101850.17,7160,2,0,100,100,100,100
39,95983.724,101767.811,7170,2,0,100,100,100,100
39,95931.424,101682.689,7180,2,0,100,100,100,100
39,95870.425,101591.759,7190,2,0,100,100,100,100
40,96427.188,102500.733,7121.191,2,0,100,100,100,100
40,96595.258,102757.403,7132.378,2,0,100,100,100,100
40,96733.861,102990.476,7149.116,2,0,100,100,100,100
40,96838.255,103135.063,7161.117,2,0,100,100,100,100
40,96925.259,103239.222,7170.113,2,0,100,100,100,100
40,97062.974,103362.767,7176.957,2,0,100,100,100,100
40,97228.831,103443.171,7179.795,2,0,100,100,100,100
40,97287.846,103493.336,7180.939,2,0,100,100,100,100
40,97344.206,103504.425,7181.331,2,0,100,100,100,100
40,97827.48,103476.74,7180,2,0,100,100,100,100
40,98271.121,103607.104,7170,2,0,100,100,100,100
41,96427.188,102500.733,7121.191,2,0,100,100,100,100
41,96350.068,102303.62,7120,2,0,100,100,100,100
42,96427.188,102500.733,7121.191,2,0,100,100,100,100
42,96386.839,102429.781,7120,2,0,100,100,100,100
42,96362.752,102291.496,7120,2,0,100,100,100,100
42,96273.621,102170.397,7130,2,0,100,100,100,100
42,96151.625,102058.138,7140,2,0,100,100,100,100
42,96059.937,101955.902,7150,2,0,100,100,100,100
42,96003.182,101858.809,7160,2,0,100,100,100,100
42,95966.88,101771.922,7170,2,0,100,100,100,100
42,95932.647,101682.47,7180,2,0,100,100,100,100
42,95864.272,101599.711,7190,2,0,100,100,100,100
43,101484.653,107374.125,7210,2,0,100,100,100,100
43,101319.5,107056.446,7210,2,0,100,100,100,100
