StringId,X,Y,Z
15,9668.082,10944.904,1074.14
15,9681.418,10869.698,1075.461
15,9695.65,10787.734,1076.326
15,9724.566,10730.686,1078.409
15,9750.174,10721.263,1078.852
15,9774.195,10698.5,1079.69
16,10121.984,9496.573,1120.004
16,10171.379,9486.803,1120.0
16,10259.087,9463.137,1128.297
16,10361.886,9423.54,1138.682
16,10426.621,9374.237,1145.759
16,10504.015,9328.581,1154.44
16,10558.467,9284.455,1161.006
16,10597.77,9225.926,1167.437
16,10610.105,9150.803,1173.739
16,10578.132,9076.266,1180.782
16,10554.078,9003.425,1184.612
16,10515.988,8902.806,1189.951
16,10482.844,8820.39,1190.0
16,10474.927,8918.999,1190.505
16,10474.258,8989.848,1196.984
16,10454.134,9059.791,1203.159
16,10420.529,9106.02,1208.587
16,10359.3,9129.574,1213.929
16,10262.376,9104.148,1223.403
16,10198.724,9089.836,1229.791
16,10097.662,9069.26,1239.995
16,10049.173,9065.551,1240.0
16,9954.869,9055.727,1240.0
17,10121.984,9496.573,1120.004
17,10037.71,9482.655,1120.818
17,9932.243,9449.715,1131.436
17,9727.228,9381.644,1152.073
17,9613.896,9349.091,1160.0
17,9523.654,9327.269,1168.629
17,9443.468,9295.634,1176.677
17,9356.151,9266.804,1185.455
17,9304.163,9245.239,1190.0
17,9240.869,9244.754,1190.0
17,9241.123,9211.21,1190.0
17,9338.438,9204.277,1192.3
17,9403.569,9181.46,1198.859
17,9498.698,9154.583,1208.409
17,9575.735,9130.836,1216.144
17,9647.488,9109.844,1223.358
17,9724.706,9084.289,1231.118
17,9811.03787300877,9066.83105658493,1239.78206068399
17,9878.941,9062.74,1240.0
18,10121.984,9496.573,1120.004
18,10094.269,9582.578,1120.745
18,10057.303,9685.019,1115.452
19,9456.703,8955.12,1260.0
19,9513.494516212,8957.19825264755,1259.99217130943
19,9578.18236667301,8962.01195978275,1259.99349239216
19,9701.397,8993.28,1249.725
19,9818.162,9025.8,1240.0
20,9456.703,8955.12,1260.0
20,9358.398,8952.15,1260.0
20,9277.412,8970.369,1253.392
20,9184.413,9003.638,1245.414
20,9098.689,9012.175,1237.76
20,9053.557,8983.78,1233.336
20,9031.492,8887.397,1223.755
20,8985.823,8774.524,1212.73
20,8946.983,8651.231,1200.322
20,8928.024,8571.165,1192.256
20,8900.354,8468.602,1190.0
20,8869.07800047772,8559.31181833801,1189.65872155143
20,8851.289,8710.321,1182.5
20,8832.768,8820.389,1177.393
20,8819.38,8923.746,1172.593
20,8811.03,9020.493,1167.992
20,8795.572,9089.533,1164.6
20,8786.824,9192.343,1159.526
20,8773.172,9281.805,1155.738
20,8813.517,9355.637,1148.645
20,8911.111,9423.428,1137.724
20,9006.84,9469.959,1127.902
20,9121.431,9511.878,1116.229
20,9208.593,9547.037,1107.266
20,9317.126,9583.811,1096.112
20,9371.913,9617.692,1090.397
20,9515.742,9624.118,1090.409
20,9561.23367107911,9643.32392866914,1092.21756142186
20,9600.37413720604,9664.68803291345,1094.24744482827
21,9456.703,8955.12,1260.0
21,9508.761,8929.9,1260.0
21,9571.91,8914.529,1260.0
21,9674.15,8892.893,1268.993
21,9784.556,8872.864,1279.844
21,9757.53077544219,8790.05117297342,1280.0112700846
22,9795.33,7995.367,1280.0
22,9581.249,8029.91,1280.0
22,9582.755,8093.635,1280.0
22,9608.481,8316.703,1280.0
23,9634.451,8390.44,1280.0
23,9665.484,8478.55,1280.0
23,9695.161,8602.228,1280.0
23,9712.365,8673.925,1280.0
24,9634.451,8390.44,1280.0
24,9608.481,8316.703,1280.0
24,9582.755,8093.635,1280.0
24,9581.249,8029.91,1280.0
25,9634.451,8390.44,1280.0
25,9832.706,8351.764,1280.0
26,9729.58761553546,8729.23705541019,1280.21422340859
26,9757.53077544219,8790.05117297342,1280.0112700846
26,9784.556,8872.864,1279.844
26,9674.15,8892.893,1268.993
26,9571.91,8914.529,1260.0
26,9508.761,8929.9,1260.0
27,9729.58761553546,8729.23705541019,1280.21422340859
27,9712.365,8673.925,1280.0
27,9695.161,8602.228,1280.0
27,9665.484,8478.55,1280.0
28,9729.58761553546,8729.23705541019,1280.21422340859
28,9878.19,8712.064,1280.0
29,10768.228,10435.739,1117.389
29,10753.6326451666,10399.9649261573,1115.48377808927
29,10731.211,10374.846,1111.5
29,10701.622,10312.889,1108.0
29,10693.577,10232.998,1108.0
29,10694.947,10133.146,1108.0
29,10655.357,10043.032,1108.0
29,10614.49,9974.855,1108.0
30,10768.228,10435.739,1117.389
30,10763.1096629223,10494.9235251289,1117.99399444301
31,10768.228,10435.739,1117.389
31,10689.745,10474.848,1117.666
31,10597.898,10559.751,1118.0
31,10573.216,10585.15,1118.0
32,10512.303,10647.831,1118.0
32,10500.457,10716.724,1118.0
32,10559.055,10752.81,1118.0
33,10512.303,10647.831,1118.0
33,10465.807,10684.142,1118.0
33,10422.761,10723.045,1118.0
33,10416.486,10804.989,1118.0
33,10408.471,10876.111,1118.0
33,10428.068,10923.671,1118.0
33,10471.168,10936.661,1118.0
33,10521.419,10933.739,1120.225
33,10567.98,10923.956,1122.489
33,10610.182,10913.898,1124.552
33,10664.709,10891.114,1127.322
33,10707.741,10864.191,1129.776
33,10751.262,10836.906,1132.219
33,10783.508,10794.506,1134.723
33,10815.091,10756.76,1137.074
33,10834.097,10722.963,1138.0
34,10512.303,10647.831,1118.0
34,10573.216,10585.15,1118.0
34,10597.898,10559.751,1118.0
34,10689.745,10474.848,1117.666
35,10551.936,11828.489,1278.0
35,10577.974,11827.252,1278.0
35,10613.645,11824.241,1278.0
35,10631.204,11808.215,1278.0
35,10637.476,11787.063,1278.0
35,10619.154,11773.616,1277.944
35,10576.405,11753.322,1271.437
35,10563.061,11742.847,1269.549
35,10552.577,11723.584,1266.606
35,10547.538,11708.599,1264.29
35,10538.04,11688.904,1261.176
35,10526.349,11675.29,1258.699
35,10516.634,11660.636,1256.811
35,10494.583,11646.679,1253.086
35,10477.256,11634.676,1250.073
35,10466.269,11623.884,1248.0
35,10467.194,11603.967,1248.0
35,10481.704,11609.683,1247.133
35,10521.739,11622.798,1241.074
35,10554.139,11637.03,1238.0
35,10551.4133497578,11612.9790460811,1237.9952246666
35,10527.9284461486,11603.0215521281,1234.61410043972
35,10503.7419361931,11592.9139322436,1230.83416839495
35,10484.703,11584.112,1228.0
35,10469.69,11553.481,1228.0
35,10508.021,11545.573,1228.0
35,10540.245,11526.754,1228.0
35,10539.203,11489.024,1228.0
35,10537.478,11454.248,1228.0
35,10523.371,11409.434,1228.0
35,10517.8,11369.683,1228.0
35,10539.361,11336.007,1228.0
35,10556.899,11256.991,1228.0
35,10584.094,11202.058,1228.0
35,10618.87,11180.841,1228.0
36,10790.644,10970.569,1208.0
36,10776.566,10991.224,1208.424
36,10755.788,11004.473,1211.109
36,10730.42,11020.101,1214.302
36,10701.411,11037.655,1218.044
36,10679.288,11049.608,1220.843
36,10651.561,11064.872,1224.325
36,10623.707,11072.481,1227.445
36,10604.18,11081.443,1228.0
36,10614.183,11108.414,1228.0
36,10621.756,11138.452,1228.0
37,10790.644,10970.569,1208.0
37,10775.818,10964.707,1208.0
37,10749.129,10975.223,1205.893
37,10722.833,10987.695,1202.681
37,10696.503,10997.298,1199.634
37,10664.571,11007.34,1196.092
37,10642.266,11017.739,1193.458
37,10620.124,11022.409,1191.025
37,10592.833,11025.235,1188.016
37,10559.798,11031.515,1184.285
37,10539.089,11024.857,1183.0
37,10537.579,11013.144,1183.0
37,10549.891,11010.661,1182.371
37,10581.68,10997.728,1178.655
37,10615.944,10987.309,1174.839
37,10643.588,10974.248,1171.433
37,10662.644,10966.985,1169.274
37,10688.897,10950.827,1166.053
37,10716.062,10931.799,1162.456
37,10738.009,10910.52,1159.287
37,10759.075,10889.804,1156.072
37,10781.59,10862.939,1152.359
37,10799.471,10843.009,1149.532
37,10816.764,10812.016,1145.7
37,10828.049,10790.3,1143.053
37,10846.444,10763.201,1139.492
37,10857.921,10727.185,1138.0
38,10790.644,10970.569,1208.0
38,10821.097,10939.725,1208.0
38,10843.574,10915.971,1208.0
38,10865.726,10907.444,1207.451
38,10908.361,10915.015,1199.794
39,10601.008,9959.128,1108.0
39,10566.34,9918.686,1108.0
39,10491.489,9881.534,1108.0
39,10480.704,9876.181,1108.0
40,10601.008,9959.128,1108.0
40,10614.49,9974.855,1108.0
40,10655.357,10043.032,1108.0
40,10694.947,10133.146,1108.0
40,10693.577,10232.998,1108.0
40,10701.622,10312.889,1108.0
40,10731.211,10374.846,1111.5
40,10753.6326451666,10399.9649261573,1115.48377808927
41,10601.008,9959.128,1108.0
41,10645.4614521451,9963.85845430057,1113.02036467249
41,10699.9828547485,10015.8012625815,1128.00856951579
41,10739.495,10102.905,1128.0
41,10750.296,10155.037,1128.0
41,10758.718,10205.218,1128.0
41,10773.341,10255.084,1128.0
41,10791.282,10315.57,1128.0
41,10812.781,10380.868,1128.0
41,10827.1,10435.395,1128.0
41,10840.881,10487.935,1128.376
41,10847.713,10529.558,1129.777
41,10854.758,10587.193,1129.936
41,10859.17,10644.581,1129.936
42,10858.291,10702.733,1135.613
42,10857.921,10727.185,1138.0
42,10846.444,10763.201,1139.492
42,10828.049,10790.3,1143.053
42,10816.764,10812.016,1145.7
42,10799.471,10843.009,1149.532
42,10781.59,10862.939,1152.359
42,10759.075,10889.804,1156.072
42,10738.009,10910.52,1159.287
42,10716.062,10931.799,1162.456
42,10688.897,10950.827,1166.053
42,10662.644,10966.985,1169.274
42,10643.588,10974.248,1171.433
42,10615.944,10987.309,1174.839
42,10581.68,10997.728,1178.655
42,10549.891,11010.661,1182.371
42,10537.579,11013.144,1183.0
42,10539.089,11024.857,1183.0
42,10559.798,11031.515,1184.285
42,10592.833,11025.235,1188.016
42,10620.124,11022.409,1191.025
42,10642.266,11017.739,1193.458
42,10664.571,11007.34,1196.092
42,10696.503,10997.298,1199.634
42,10722.833,10987.695,1202.681
42,10749.129,10975.223,1205.893
42,10775.818,10964.707,1208.0
43,10858.291,10702.733,1135.613
43,10834.097,10722.963,1138.0
43,10815.091,10756.76,1137.074
43,10783.508,10794.506,1134.723
43,10751.262,10836.906,1132.219
43,10707.741,10864.191,1129.776
43,10664.709,10891.114,1127.322
43,10610.182,10913.898,1124.552
43,10567.98,10923.956,1122.489
43,10521.419,10933.739,1120.225
43,10471.168,10936.661,1118.0
43,10428.068,10923.671,1118.0
43,10408.471,10876.111,1118.0
43,10416.486,10804.989,1118.0
43,10422.761,10723.045,1118.0
43,10465.807,10684.142,1118.0
44,10858.291,10702.733,1135.613
44,10858.753,10672.165,1132.629
44,10859.17,10644.581,1129.936
44,10854.758,10587.193,1129.936
44,10847.713,10529.558,1129.777
44,10840.881,10487.935,1128.376
44,10827.1,10435.395,1128.0
44,10812.781,10380.868,1128.0
44,10791.282,10315.57,1128.0
44,10773.341,10255.084,1128.0
44,10758.718,10205.218,1128.0
44,10750.296,10155.037,1128.0
44,10739.495,10102.905,1128.0
44,10699.9828547485,10015.8012625815,1128.00856951579
44,10645.4614521451,9963.85845430057,1113.02036467249
45,10858.753,10672.165,1132.629
45,10881.24,10691.923,1132.282
45,10899.855,10724.03,1135.913
45,10926.21,10729.53,1138.293
45,10958.834,10736.749,1139.948
45,10996.184,10739.829,1141.74
45,11036.424,10760.349,1144.044
45,11050.767,10781.021,1145.07
45,11080.142,10797.784,1146.818
45,11100.651,10801.75,1148.414
45,11146.091,10803.617,1152.431
