StringId,X,Y,Z,Description,Width,Height,Rolling Resistance,Traction Coefficient,Ground Structure,Locked,Enabled (Fwd),Empty Only (Fwd),Full Only (Fwd),Maximum Speed Full (Fwd),Maximum Final Speed Full (Fwd),Maximum Speed Empty (Fwd),Maximum Final Speed Empty (Fwd),Enabled (Rev),Empty Only (Rev),Full Only (Rev),Maximum Speed Full (Rev),Maximum Final Speed Full (Rev),Maximum Speed Empty (Rev),Maximum Final Speed Empty (Rev)
1,8846.21123625291,9753.10838653727,1097.25612320439,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8835.6559444062,9754.33205931183,1098.17741924203,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8829.54853119508,9755.0434703203,1098.83670319097,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8819.71611035161,9758.73829996643,1100.65401165278,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8808.01825702664,9760.08803268342,1101.27784920125,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8799.41765828734,9761.94149583706,1102.36899986965,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8790.68463294185,9763.80616431891,1103.23859063923,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8783.42510825683,9764.6447812693,1103.60016143246,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8776.27279818952,9765.47664955611,1104.18613324821,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8767.77788606863,9768.17344099131,1105.39544919599,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8760.19086019983,9770.76785647327,1106.57488957408,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8752.67693950448,9771.63100035892,1106.57488957408,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8739.16508046769,9776.64963512075,1109.48302241278,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
1,8728.9751077875,9779.54341113267,1110.16690555883,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,8714.05266660166,9782.97606156519,1110.10124933881,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,8728.9751077875,9779.54341113267,1110.16690555883,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,8739.16508046769,9776.64963512075,1109.48302241278,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,8752.67693950448,9771.63100035892,1106.57488957408,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,8760.19086019983,9770.76785647327,1106.57488957408,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,8767.77788606863,9768.17344099131,1105.39544919599,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,8776.27279818952,9765.47664955611,1104.18613324821,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,8783.42510825683,9764.6447812693,1103.60016143246,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,8790.68463294185,9763.80616431891,1103.23859063923,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,8799.41765828734,9761.94149583706,1102.36899986965,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,8808.01825702664,9760.08803268342,1101.27784920125,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,8819.71611035161,9758.73829996643,1100.65401165278,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,8829.54853119508,9755.0434703203,1098.83670319097,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
2,8835.6559444062,9754.33205931183,1098.17741924203,Arc,10,10,2,0.36,0,False,True,False,False,100,100,100,100,True,False,False,100,100,100,100
